地区,ISTJ,ESTJ,ISTP,ESTP,ISFJ,ESFJ,ISFP,ESFP,INFJ,ENFJ,INFP,ENFP,INTJ,ENTJ,INTP,ENTP
北京市,4.95,2.06,3.94,2.66,8.33,6.82,8.91,2.68,6.76,6.03,15.48,4.96,4.87,2.11,13.06,6.38
天津市,5.26,1.58,4.11,2.22,8.81,6.48,9.21,2.37,6.39,5.43,17.69,4.82,4.65,1.8,13.24,5.94
上海市,4.93,1.96,4.14,2.66,8.19,6.73,9.11,2.66,6.55,6,15.88,4.84,4.95,2.09,13.21,6.1
重庆市,4.3,1.35,3.97,2.26,8.28,6.31,11.16,2.51,6.15,5.23,20.05,4.82,4.44,1.47,12.68,5
河北省,4.67,1.58,3.97,1.93,8.52,6.65,10.49,2.58,6.02,4.92,19.82,4.92,5.01,1.6,12.54,4.78
山西省,5.16,1.63,3.71,1.96,9.78,6.58,10.05,2.64,6.66,5.12,18.33,4.8,5.09,1.63,12.16,4.7
辽宁省,5.59,1.76,3.9,2.22,8.55,6.66,9.73,2.75,5.69,5.32,17.93,5.23,4.42,1.86,13.14,5.25
吉林省,5.6,1.88,4.06,2.47,8.57,7.17,9.84,2.98,6.11,5.49,18,5.16,4.45,1.77,11.39,5.06
黑龙江省,5.75,1.6,4.12,2.15,8.04,6.37,9.6,2.55,6.16,5.23,18.18,5.28,4.62,1.95,13.07,5.33
江苏省,5.16,1.65,3.93,2.11,8.87,6.5,10.6,2.71,5.76,5.37,18.81,4.73,4.71,1.76,12.38,4.95
浙江省,5.13,1.64,3.92,2.13,8.67,6.55,10.61,2.71,5.71,4.95,19.54,4.82,4.51,1.63,12.45,5.03
安徽省,4.94,1.52,4.08,2.03,8.92,6.77,10.61,2.72,6.13,5.22,18.96,4.7,4.52,1.6,12.22,5.06
福建省,4.88,1.5,3.98,2.01,8.91,6.78,10.78,2.62,5.79,4.98,19.56,4.65,4.49,1.49,12.73,4.85
江西省,4.69,1.45,3.78,1.98,9.08,6.98,10.91,2.62,5.91,4.95,19.92,4.72,4.69,1.37,12.06,4.89
山东省,4.91,1.66,3.65,2.01,8.88,6.87,10.07,2.72,6.08,5.27,18.99,4.95,4.8,1.67,12.28,5.19
河南省,4.86,1.54,3.95,2.11,9.74,7.23,10.7,2.8,6.18,4.99,19.07,4.66,4.66,1.61,11.47,4.43
湖北省,4.82,1.58,4.12,2.3,8.9,6.62,10.74,2.58,6.03,5.1,18.99,4.49,4.6,1.63,12.53,4.97
湖南省,4.74,1.54,4.1,2.06,8.64,6.5,10.79,2.76,5.9,4.91,19.33,4.76,5.03,1.78,12.47,4.69
广东省,4.88,1.6,4.41,2.37,9.28,6.45,10.57,2.59,6.16,4.99,18.25,4.34,4.36,1.64,13.03,5.08
海南省,4.42,1.56,3.98,2.49,9.73,6.76,10.36,2.59,6.37,5.64,18.21,4.6,4.13,1.83,11.99,5.34
四川省,4.5,1.54,3.89,2.35,8.66,6.88,10.84,2.69,5.97,5.19,19.13,4.62,4.73,1.7,12.2,5.11
贵州省,4.01,1.34,3.95,2.05,8.05,6.02,10.61,2.43,6.78,5.71,19.54,4.5,4.68,1.73,13.25,5.35
云南省,4.27,1.45,4.48,1.98,8.06,5.75,10.4,2.38,6.08,4.8,19.18,4.87,5.83,1.83,13.59,5.07
陕西省,4.87,1.69,3.98,2.28,9.21,7.13,10.09,2.69,5.86,5.01,17.58,4.89,4.89,1.56,12.85,5.42
甘肃省,4.93,1.74,4.22,2,8.53,6.91,10.36,2.61,6.6,5.49,18.11,4.52,4.97,1.89,12.48,4.64
青海省,4.8,1.33,4.1,1.75,9.28,7.18,10.09,3.5,4.9,5.47,17.13,5.32,4.13,1.75,12.96,6.31
台湾省,4.62,1.69,4.58,2.14,9.71,4.49,8.76,1.85,8.02,4.62,17.91,3.68,4.52,1.77,16.05,5.59
西藏自治区,3.94,0.9,3.22,2.68,9.3,4.83,13.42,3.58,6.26,5.37,17.17,6.8,5.9,3.04,9.12,4.47
内蒙古自治区,4.99,1.84,3.95,1.87,8.36,6.49,9.53,2.33,5.72,5.01,18.49,5.1,5.52,2.32,13.36,5.12
广西壮族自治区,4.71,1.34,4.32,2.06,8.71,5.58,11.02,2.46,5.67,4.35,20.93,4.25,4.79,1.6,13.38,4.83
宁夏回族自治区,4.98,1.61,3.69,1.78,8.52,6.28,11.08,2.34,6.32,5.19,18.35,5.05,4.82,1.49,12.77,5.73
新疆维吾尔自治区,4.76,1.73,3.76,2.28,8.8,6.75,10.35,2.73,6.82,5.14,16.66,4.81,5.17,2.08,13.02,5.14
香港特别行政区,4.87,1.59,3.93,1.85,8.87,5.54,9.19,2.06,6.91,4.78,18.43,4.2,4.5,1.52,15.9,5.86
澳门特别行政区,4.77,2.45,4.23,2.33,7.56,5.69,9.26,2.16,5.56,5.6,15.28,4.07,6.89,2.28,15.19,6.68
