地区,华北,东北,华东,中南,西南,西北
北京市,33479,8862,39077,30597,10623,9510
天津市,37960,6577,13030,8537,2822,3268
河北省,402711,56189,72294,55710,24137,34663
山西省,92798,10383,40814,35737,14010,24730
内蒙古自治区,112494,118708,32601,14501,7262,17563
辽宁省,80803,92343,56900,35379,15070,14501
吉林省,65479,169108,83650,21683,8486,7126
黑龙江省,148231,215585,184257,37566,13705,8141
上海市,10730,3669,88274,19722,5538,4629
江苏省,60450,36281,368925,76865,20817,57140
浙江省,83559,46926,297505,104640,39359,60334
安徽省,54524,28627,338202,68944,12250,30841
福建省,19999,8255,106059,86292,11216,6566
江西省,12999,6438,159187,99345,9458,6345
山东省,121898,186728,99368,63823,16773,46252
河南省,140443,35303,109995,127458,28681,147746
湖北省,36326,18196,95605,128927,38352,23492
湖南省,30288,7972,89008,327260,56025,18061
广东省,14132,5133,58585,142777,22979,6888
广西壮族自治区,11407,3396,54896,464019,26893,4206
海南省,1922,654,9920,89513,3289,679
重庆市,37960,6577,13030,13423,53221,17852
四川省,181986,44174,304742,352723,227592,204832
贵州省,24666,4370,128011,82602,70098,2737
云南省,19328,3048,107413,55210,87493,4940
西藏自治区,2815,735,6519,5340,31900,6825
陕西省,70113,10987,76028,83632,32083,89506
甘肃省,44299,7567,52779,32470,21207,122393
青海省,11001,2949,31865,15640,12577,28109
宁夏回族自治区,10924,2058,10900,6699,2528,23500
新疆维吾尔自治区,31328,4875,99217,57259,37325,47408
